Date,Comparison_Type
2020-01-07,8.0
2020-01-12,3.0
2020-01-14,4.0
2020-01-21,1.0
2020-01-26,6.0
2020-01-28,9.0
2020-01-29,6.0
2020-02-04,7.0
2020-02-09,4.0
2020-02-11,5.0
2020-02-16,8.0
2020-02-18,7.0
2020-02-23,6.0
2020-02-25,8.0
2020-02-27,11.0
2020-03-03,13.0
2020-03-07,9.0
2020-03-08,6.0
2020-03-10,5.0
2020-03-15,9.0
2020-03-17,10.0
2020-03-22,8.0
2020-03-24,9.0
2020-03-26,3.0
2020-03-28,10.55
2020-03-30,9.0
2020-03-31,9.0
2020-04-04,9.9
2020-04-05,8.0
2020-04-07,9.0
2020-04-10,7.6
2020-04-14,10.066666666666666
2020-04-18,9.666666666666664
2020-04-19,7.5
2020-04-20,1.0
2020-04-21,7.866666666666668
2020-04-25,9.299999999999999
2020-04-28,8.799999999999999
2020-05-02,9.25
2020-05-03,5.0
2020-05-04,10.0
2020-05-05,8.33333333333333
2020-05-09,6.9499999999999975
2020-05-12,8.466666666666667
2020-05-16,8.5
2020-05-19,8.133333333333333
2020-05-23,7.899999999999999
2020-05-26,6.2749999999999995
2020-05-30,10.900000000000002
2020-06-01,9.0
2020-06-02,9.766666666666667
